"item_id","priority","stage","category","field_or_artifact","format_or_unit","collection_method","source_path_or_tool","owner","required_for","status"
"I01","P0","S0","protocol","experiment_version; protocol_version; created_at_utc; owner; protocol_hash","string; UTC; SHA-256","manual then automatic hash","01_evaluation_protocol.md","Evaluation","Methods and version isolation","not_started"
"I02","P0","S0","protocol","research_question_id; hypothesis; estimand; direction; decision_threshold","structured text","manual freeze before candidate outputs","01_evaluation_protocol.md","Evaluation + Jasmine","All research conclusions","not_started"
"I03","P0","S0","case","case_id; domain; difficulty; risk_level; case_rationale","controlled text","manual freeze","02_frozen_cases_and_evidence_manifest.csv","Evaluation + Jasmine","Case diversity and external-validity boundary","not_started"
"I04","P0","S0","input","brief_json; brief_hash; brief_word_count; brief_token_count; required_sections","JSON; SHA-256; counts","automatic serialization and hash","frozen_cases/","Evaluation","Matched-input fairness","not_started"
"I05","P0","S0","evidence","source_id; URL; publisher; date; retrieval_utc; source_type; authority; snapshot_path; content_hash","structured metadata","retrieve; verify; snapshot; hash","evidence_snapshots/ and evidence manifest","Evaluation","Evidence credibility and claim audit","not_started"
"I06","P0","S0","evidence","evidence_snapshot_hash; allowlist_hash; source_count; snapshot_token_count","SHA-256; counts","automatic","02_frozen_cases_and_evidence_manifest.csv","Evaluation","Same-evidence comparison","not_started"
"I07","P0","S0","design","condition_id; planned_run_order; block_id; randomization_seed","IDs and integer seed","seeded generation","03_run_manifest.csv","Evaluation","Blocked and randomized design","not_started"
"I08","P0","S0","protocol","retry; inclusion; exclusion; infrastructure_failure; stopping rules","structured text","manual freeze","01_evaluation_protocol.md","Evaluation + Jasmine","Failure denominators and protocol integrity","not_started"
"I09","P0","S0","rubric","dimension; weight; 1_3_5_anchors; examples; rubric_hash","1-5 anchors; weight; SHA-256","manual freeze and hash","evaluation_rubric.md","Evaluation + Jasmine","Blind primary quality score","not_started"
"I10","P0","S1","baseline","legacy_run_id; output_hash; confidence_labels; confidence_engine_version","IDs; SHA-256; labels","database/output export before fixes","data/app.db and example_outputs/","Core Product","Before-after confidence analysis","not_started"
"I11","P1","S1","demo","demo_brief; expected_flow; screenshot_or_recording_path","text and file path","manual capture","demo_manifest.md","Presentation","Offline presentation demo","not_started"
"C01","P0","S3,S4","configuration","provider; exact_model_id; model_revision_or_digest; quantization","exact strings","automatic runtime snapshot","run config and model runtime","SLM + Evaluation","Model identity and reproducibility","not_started"
"C02","P0","S0,S4","configuration","architecture_mode; component_review_enabled; dynamic_revision_enabled; max_component_revisions","enum; booleans; count","condition registry and per-run assertion","condition_registry","Core Product + Evaluation","C1-C6 identity and ablation","not_started"
"C03","P0","S4","configuration","workflow_version; prompt_version; schema_version; confidence_engine_version","version strings","automatic per-run snapshot","data/app.db and run logs","Evaluation","Historical/candidate version separation","not_started"
"C04","P0","S3","configuration","prompt_path_and_sha256_per_node","path and SHA-256","automatic manifest generation","prompts/ and freeze manifest","Controller","Prompt drift control","not_started"
"C05","P0","S3,S4","configuration","temperature; seed_if_supported; context_limit; max_output_tokens; max_prompt_chars","numbers and support flag","automatic config snapshot","run configuration","Evaluation + SLM","Model-budget fairness","not_started"
"C06","P0","S3,S4","configuration","run_max_requests; run_max_tokens; node_timeout; wall_clock_timeout","counts and seconds","automatic config snapshot","budget configuration","Core Product","Bounded execution and cost interpretation","not_started"
"C07","P0","S3,S4","configuration","structured_mode; schema_correction_limit; retry_count; retry_backoff","enum; counts; seconds","automatic client snapshot","provider client config","Core Product + SLM","Valid-at-first-attempt and reliability","not_started"
"C08","P0","S3,S4","configuration","formal_web_enabled_false; rag_mode_frozen_packet; allowed_tools","booleans and allowlist","automatic assertion","config audit","Evaluation","Evidence fairness and Web control","not_started"
"C09","P0","S3,S4","configuration","chunking; overlap; batches; pruning; retained_fields","counts; booleans; strings","automatic context snapshot","writer and SLM config","SLM","Memory and context interpretation","not_started"
"C10","P0","S0","configuration","locale; timezone; currency; unit_conventions","exact strings","manual freeze and assertion","01_evaluation_protocol.md","Evaluation","Finance and time consistency","not_started"
"C11","P0","S3","fairness","full_condition_diff","machine-readable diff","automatic comparison","condition_config_diff.md","Controller","Clean condition comparison","not_started"
"C12","P1","S3","safety","tool_allowlist; export_approval; safety_settings","structured snapshot","automatic plus manual review","reproducibility manifest","Core Product","Safety and HITL discussion","not_started"
"R01","P0","S4","run","run_id; experiment_version; case_id; condition_id; repeat_index; canonical","IDs; count; boolean","automatic incremental persist","03_run_manifest.csv and data/app.db","Evaluation","Joins and paired analysis","not_started"
"R02","P0","S4","run","planned_status; observed_status; terminal_status; value_status","controlled enums","automatic","03_run_manifest.csv","Evaluation","Completion and honest missingness","not_started"
"R03","P0","S4","run","started_at_utc; completed_at_utc; monotonic_elapsed_seconds","UTC and seconds","automatic monotonic timing","run logs","Evaluation","End-to-end latency and Pareto plot","not_started"
"R04","P0","S4","run","prompt_tokens; completion_tokens; total_tokens; request_count; retry_count","counts","provider/client logging","run logs and data/app.db","Evaluation","Efficiency and coordination overhead","not_started"
"R05","P0","S4","run","actual_api_cost; currency; missing_reason","currency or controlled missingness","provider usage export or runtime record","run manifest","Evaluation","Cost per usable draft","not_started"
"R06","P1","S4","run","time_to_first_valid_draft_seconds","seconds","automatic timestamp at first valid schema","run logs","Evaluation","Product wait time","not_started"
"R07","P0","S4","run","output_path; output_hash; output_words; output_tokens; section_count","path; SHA-256; counts","automatic","outputs/ and proposal_outputs","Evaluation","Artifact integrity and completeness","not_started"
"R08","P0","S4","run","brief_hash; evidence_hash; config_hash; prompt_hash; schema_hash; code_hash","SHA-256","automatic before and after run","freeze and run manifests","Controller","Formal-run drift detection","not_started"
